peso_mex,date
19.0718,11/08/2017
19.09,11/09/2017
19.0526,11/10/2017
19.168,13/11/2017
19.1334,14/11/2017
19.2268,15/11/2017
19.1224,16/11/2017
18.9724,17/11/2017
18.8242,21/11/2017
18.74,22/11/2017
18.6041,23/11/2017
18.5379,24/11/2017
18.52,27/11/2017
18.5848,28/11/2017
18.519,29/11/2017
18.6229,30/11/2017
18.6399,12/01/2017
18.642,12/04/2017
18.6958,12/05/2017
18.8897,12/06/2017
18.9315,12/07/2017
18.9445,12/08/2017
18.974,12/11/2017
19.1391,13/12/2017
19.1202,14/12/2017
19.1289,15/12/2017
19.0289,18/12/2017
19.1913,19/12/2017
19.2291,20/12/2017
19.3962,21/12/2017
19.5848,22/12/2017
19.7223,26/12/2017
19.7867,27/12/2017
19.7354,28/12/2017
19.6629,29/12/2017
19.4899,01/02/2018
19.3717,01/03/2018
19.2427,01/04/2018
19.2737,01/05/2018
19.2323,01/08/2018
19.3065,01/09/2018
19.2405,01/10/2018
19.3433,01/11/2018
19.0446,01/12/2018
18.8113,15/01/2018
18.8362,16/01/2018
18.655,17/01/2018
18.6361,18/01/2018
18.5813,19/01/2018
18.7118,22/01/2018
18.798,23/01/2018
18.5178,24/01/2018
18.478,25/01/2018
18.4672,26/01/2018
18.6196,29/01/2018
18.6982,30/01/2018
18.6069,31/01/2018
18.4004,02/01/2018
18.5248,02/02/2018
18.7009,02/06/2018
18.6492,02/07/2018
18.8815,02/08/2018
18.8623,02/09/2018
18.6703,02/12/2018
18.6269,13/02/2018
18.6025,14/02/2018
18.5159,15/02/2018
18.4797,16/02/2018
18.536,19/02/2018
18.6594,20/02/2018
18.6518,21/02/2018
18.6574,22/02/2018
18.5659,23/02/2018
18.6456,26/02/2018
18.7902,27/02/2018
18.8331,28/02/2018
18.861,03/01/2018
18.8909,03/02/2018
18.8838,03/05/2018
18.7246,03/06/2018
18.7922,03/07/2018
18.7148,03/08/2018
18.5812,03/09/2018
18.6199,03/12/2018
18.5604,13/03/2018
18.5854,14/03/2018
18.7023,15/03/2018
18.7216,16/03/2018
18.7614,20/03/2018
18.6001,21/03/2018
18.5078,22/03/2018
18.5364,23/03/2018
